District,Incumbent,Winner,Partisan_change?
Washington's 8th,Republican Party Dave Reichert,Democratic Party Kim Schrier,Yes
Virginia's 7th,Republican Party David Brat,Democratic Party Abigail Spanberger,Yes
Virginia's 2nd,Republican Party Scott Taylor,Democratic Party Elaine Luria,Yes
Virginia's 10th,Republican Party Barbara Comstock,Democratic Party Jennifer Wexton,Yes
Utah's 4th,Republican Party Mia Love,Democratic Party Ben McAdams,Yes
Texas' 7th,Republican Party John Culberson,Democratic Party Lizzie Pannill Fletcher,Yes
Texas' 32nd,Republican Party Pete Sessions,Democratic Party Colin Allred,Yes
South Carolina's 1st,Republican Party Mark Sanford,Democratic Party Joe Cunningham,Yes
Pennsylvania's 7th,Republican Party Vacant,Democratic Party Susan Wild,Yes
Pennsylvania's 6th,Republican Party Ryan Costello,Democratic Party Chrissy Houlahan,Yes
Pennsylvania's 5th,Republican Party Vacant,Democratic Party Mary Gay Scanlon,Yes
Pennsylvania's 17th,Republican Party Keith Rothfus,Democratic Party Conor Lamb,Yes
Pennsylvania's 14th,Democratic Party Conor Lamb,Republican Party Guy Reschenthaler,Yes
Oklahoma's 5th,Republican Party Steve Russell,Democratic Party Kendra Horn,Yes
New York's 22nd,Republican Party Claudia Tenney,Democratic Party Anthony Brindisi,Yes
New York's 19th,Republican Party John Faso,Democratic Party Antonio Delgado,Yes
New York's 11th,Republican Party Dan Donovan,Democratic Party Max Rose,Yes
New Mexico's 2nd,Republican Party Steve Pearce,Democratic Party Xochitl Torres Small,Yes
New Jersey's 7th,Republican Party Leonard Lance,Democratic Party Tom Malinowski,Yes
New Jersey's 3rd,Republican Party Tom MacArthur,Democratic Party Andy Kim,Yes
New Jersey's 2nd,Republican Party Frank LoBiondo,Democratic Party Jeff Van Drew,Yes
New Jersey's 11th,Republican Party Rodney Frelinghuysen,Democratic Party Mikie Sherrill,Yes
Minnesota's 8th,Democratic Party Rick Nolan,Republican Party Pete Stauber,Yes
Minnesota's 3rd,Republican Party Erik Paulsen,Democratic Party Dean Phillips,Yes
Minnesota's 2nd,Republican Party Jason Lewis,Democratic Party Angie Craig,Yes
Minnesota's 1st,Democratic Party Tim Walz,Republican Party Jim Hagedorn,Yes
Michigan's 8th,Republican Party Mike Bishop,Democratic Party Elissa Slotkin,Yes
Michigan's 11th,Republican Party David Trott,Democratic Party Haley Stevens,Yes
Maine's 2nd,Republican Party Bruce Poliquin,Democratic Party Jared Golden,Yes
Kansas' 3rd,Republican Party Kevin Yoder,Democratic Party Sharice Davids,Yes
Iowa's 3rd,Republican Party David Young,Democratic Party Cindy Axne,Yes
Iowa's 1st,Republican Party Rod Blum,Democratic Party Abby Finkenauer,Yes
Illinois' 6th,Republican Party Peter Roskam,Democratic Party Sean Casten,Yes
Illinois' 14th,Republican Party Randy Hultgren,Democratic Party Lauren Underwood,Yes
Georgia's 6th,Republican Party Karen Handel,Democratic Party Lucy McBath,Yes
Florida's 27th,Republican Party Ileana Ros-Lehtinen,Democratic Party Donna Shalala,Yes
Florida's 26th,Republican Party Carlos Curbelo,Democratic Party Debbie Mucarsel-Powell,Yes
Colorado's 6th,Republican Party Mike Coffman,Democratic Party Jason Crow,Yes
California's 49th,Republican Party Darrell Issa,Democratic Party Mike Levin,Yes
California's 48th,Republican Party Dana Rohrabacher,Democratic Party Harley Rouda,Yes
California's 45th,Republican Party Mimi Walters,Democratic Party Katie Porter,Yes
California's 39th,Republican Party Edward Royce,Democratic Party Gil Cisneros,Yes
California's 25th,Republican Party Stephen Knight,Democratic Party Katie Hill,Yes
California's 21st,Republican Party David Valadao,Democratic Party TJ Cox,Yes
California's 10th,Republican Party Jeff Denham,Democratic Party Josh Harder,Yes
Arizona's 2nd,Republican Party Martha McSally,Democratic Party Ann Kirkpatrick,Yes
Wisconsin's 1st,Republican Party Paul Ryan,Republican Party Bryan Steil,No
West Virginia's 3rd,Republican Party Evan Jenkins,Republican Party Carol Miller,No
Washington's 9th,Democratic Party Adam Smith,Democratic Party Adam Smith,No
Washington's 5th,Republican Party Cathy McMorris Rodgers,Republican Party Cathy McMorris Rodgers,No
Washington's 3rd,Republican Party Jaime Herrera Beutler,Republican Party Jaime Herrera Beutler,No
Virginia's 5th,Republican Party Thomas Garrett,Republican Party Denver Riggleman,No
Texas' 23rd,Republican Party Will Hurd,Republican Party Will Hurd,No
Pennsylvania's 1st,Republican Party Brian Fitzpatrick,Republican Party Brian Fitzpatrick,No
Ohio's 7th,Republican Party Bob Gibbs,Republican Party Bob Gibbs,No
Ohio's 1st,Republican Party Steve Chabot,Republican Party Steve Chabot,No
Ohio's 12th,Republican Party Troy Balderson,Republican Party Troy Balderson,No
North Carolina's 9th,Republican Party Robert Pittenger,Republican Party Dan Bishop,No
North Carolina's 2nd,Republican Party George Holding,Republican Party George Holding,No
North Carolina's 13th,Republican Party Ted Budd,Republican Party Ted Budd,No
New York's 27th,Republican Party Chris Collins,Republican Party Chris Collins,No
New Hampshire's 1st,Democratic Party Carol Shea-Porter,Democratic Party Chris Pappas,No
Nevada's 4th,Democratic Party Ruben Kihuen,Democratic Party Steven Horsford,No
Nevada's 3rd,Democratic Party Jacky Rosen,Democratic Party Susie Lee,No
Nebraska's 2nd,Republican Party Don Bacon,Republican Party Don Bacon,No
Montana's at-large,Republican Party Greg Gianforte,Republican Party Greg Gianforte,No
Kentucky's 6th,Republican Party Andy Barr,Republican Party Andy Barr,No
Kansas' 2nd,Republican Party Lynn Jenkins,Republican Party Steve Watkins,No
Illinois' 13th,Republican Party Rodney Davis,Republican Party Rodney Davis,No
Illinois' 12th,Republican Party Mike Bost,Republican Party Mike Bost,No
Georgia's 7th,Republican Party Rob Woodall,Republican Party Rob Woodall,No
Florida's 25th,Republican Party Mario Diaz-Balart,Republican Party Mario Diaz-Balart,No
Florida's 18th,Republican Party Brian Mast,Republican Party Brian Mast,No
Florida's 16th,Republican Party Vern Buchanan,Republican Party Vern Buchanan,No
Florida's 15th,Republican Party Dennis Ross,Republican Party Ross Spano,No
California's 8th,Republican Party Paul Cook,Republican Party Paul Cook,No
California's 50th,Republican Party Duncan Hunter,Republican Party Duncan Hunter,No
California's 22nd,Republican Party Devin Nunes,Republican Party Devin Nunes,No
California's 16th,Democratic Party Jim Costa,Democratic Party Jim Costa,No
Arkansas' 2nd,Republican Party French Hill,Republican Party French Hill,No
Arizona's 1st,Democratic Party Tom O'Halleran,Democratic Party Tom O'Halleran,No
Alaska's at-large,Republican Party Don Young,Republican Party Don Young,No
