Office Type,Name,State_abbrev,State_num,Congressional_District,Total_Population,Race_White,Race_Black,Race_AmerInd,Race_Asian,Race_PacIsl,Race_Other,Race_TwoOrMore,Agg_Household_Income,Inc_Pov_Ratio_below_50,Inc_Pov_Ratio_50_74,Inc_Pov_Ratio_75_99,Inc_Pov_Ratio_100_124,Inc_Pov_Ratio_125_149,Inc_Pov_Ratio_150_174,Inc_Pov_Ratio_175_184,Inc_Pov_Ratio_185_199,Inc_Pov_Ratio_200_299,Inc_Pov_Ratio_300_399,Inc_Pov_Ratio_400_499,Inc_Pov_Ratio_above_500,Age_18_19,Age_20,Age_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_61,Age_62_64,Age_65_66,Age_67_69,Age_70_74,Age_75_79,Age_80_84,Age_85_over,lean_magnitude,lean_party,battleground,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?
Representative,Alabama,AL,1,1,715346,479949,196891,6992,10627,183,7691,13013,17907552200,56818,33413,28731,36211,40247,34270,12779,16615,133013,92613,71362,145372,18778,8167,6843,27504,45057,44327,41601,43952,44349,46773,51510,20568,26405,17650,22410,35745,24406,14245,12627,28.61,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Alabama,AL,1,2,678122,426674,217977,2838,7442,26,8158,15007,16457270400,56772,25780,35744,34868,36776,35154,9103,14959,115007,96657,70155,125466,16509,7940,10697,27832,47816,42118,42444,38611,43848,42874,45788,18690,24281,15776,21007,30710,20756,14390,12723,30.97,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Alabama,AL,1,3,708409,490987,183949,1300,13049,0,6291,12833,17050958700,61765,31665,30859,33677,35588,45481,14247,21433,108335,101342,66672,136819,23659,13354,11259,29175,48374,41405,39417,43934,45314,46363,46240,19235,27145,16013,23160,35141,22735,12289,10181,31.37,R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Alabama,AL,1,4,686297,591084,51171,4391,3072,677,20337,15565,16330810400,52572,28112,38429,36420,38686,33432,18126,19455,127655,95292,66634,122232,17943,9202,9872,22309,41035,39127,44107,37856,44176,43468,45752,20934,26866,15111,24038,35782,25942,13938,13332,59.81,R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Alabama,AL,1,5,725634,539903,130913,3123,12215,160,19959,19361,22597094400,35485,26946,29209,34528,29506,31400,13614,17714,110211,97493,84015,198933,20021,10502,7638,26753,49539,47488,46618,43235,46011,50109,55636,19201,25140,17182,20672,31705,20948,16551,12667,32.81,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Alabama,AL,1,6,713595,556700,109254,1512,13683,545,15654,16247,24658463400,29749,17457,24517,25313,23208,24320,12964,14197,98609,108625,80090,239272,18060,7283,7742,23132,49737,45003,44219,52010,49408,45539,45068,20253,26053,16992,22655,31547,20251,15071,12536,47.21,R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Arkansas,AR,5,1,724622,561702,122626,2554,2796,171,7266,27507,15902702000,50895,42052,42915,50316,42095,46985,15720,21321,120404,95926,68241,97397,18909,6530,10251,24317,48355,43871,47170,41499,44016,44970,49191,20011,26930,17180,22799,36191,26920,14354,13711,30,R,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Arkansas,AR,5,2,765124,540548,174846,4030,13008,868,12113,19711,21862621500,50818,34148,35408,37617,36643,35909,11668,24718,124145,99111,73983,183070,21991,13707,11202,28822,53799,50457,49410,46768,47418,47810,50591,18272,26984,16332,24033,32268,21547,13374,14284,9.63,R,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Arkansas,AR,5,3,819235,679803,25638,9847,25283,7769,45288,25607,23945129800,42916,27759,36867,39640,46482,45456,16108,24748,159783,114109,68150,177751,24866,15218,10465,35432,58943,58197,53781,49787,51678,49073,47973,20723,24280,15615,23233,29808,23571,12441,13378,30.8,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Arkansas,AR,5,4,704844,524043,133604,4520,6461,590,20250,15376,15494740300,51912,40262,48552,42096,36952,40683,16155,25388,127306,91937,60262,102669,22412,11341,8630,23833,42620,36695,39332,39306,40604,44774,48279,22405,28291,16307,26857,36185,25173,17319,14796,29.13,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Arizona,AZ,4,1,770392,504227,19319,180970,11798,1188,24250,28640,18446219400,69401,36361,34797,40587,38247,36886,11081,23624,131566,98948,71628,141304,28311,10680,12542,31017,45500,46862,46900,43125,44589,41267,46072,19076,27417,18948,26604,41840,32137,17654,11646,5.56,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Representative,Arizona,AZ,4,2,724747,584070,28469,13349,21765,1139,39945,36010,22029092800,36061,24876,32148,36573,31460,36086,16279,22694,117936,101368,73783,176443,18293,11600,12033,31238,52018,42349,44783,38044,39268,40990,43752,21967,29319,20633,26865,40943,32367,17990,18404,1.22,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Representative,Arizona,AZ,4,3,798359,564199,40208,40005,16746,2281,99418,35502,16061713400,71080,42400,45046,51635,42349,49204,21054,31204,147011,100453,66404,103042,28208,14684,16818,40747,62159,53270,50941,47024,46146,45547,40982,18318,22511,13427,22979,24676,17876,12890,7571,24.11,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,Arizona,AZ,4,8,794820,656356,39285,6764,33004,2259,26855,30297,25266540000,27933,12733,17352,21319,29116,29525,11492,24526,140004,132959,94914,239808,18952,7688,7110,23720,46561,44644,48176,48995,48754,49266,51211,19194,29349,20040,29368,50278,36701,23707,23125,26.32,R,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Representative,Arizona,AZ,4,9,794188,586360,50086,24636,45699,4401,45142,37864,26955397800,53222,24631,35764,38299,30454,39631,15586,22889,119775,102914,79084,217322,23072,15206,15125,44485,83869,69158,57526,43735,46699,48818,48599,18893,26753,14253,18758,21754,16234,10906,13118,8.38,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,1,711282,605294,12691,11320,19443,882,24748,36904,20795392800,50033,18133,35408,32482,28928,34223,14741,17667,117818,95964,63981,179560,18144,10401,10773,28185,48190,41767,38899,36733,37706,40801,49933,21197,34689,20971,29370,41890,29062,18516,16073,22.53,R,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,10,761485,573461,24578,6704,54882,5838,51190,44832,20356451000,38693,24330,39599,36955,40504,41894,14618,16638,136042,105180,74953,184440,21069,11760,9342,30347,56492,50707,51030,48530,46837,48136,46040,16286,24757,16980,18226,24361,17432,10590,11294,0.77,R,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,11,762290,419654,65509,4286,115716,3689,101498,51938,37303874700,32800,14273,18995,18766,30216,18343,7761,18787,87735,80767,72228,353816,15959,8513,9377,27718,53588,52371,51271,48513,52535,50672,53155,21068,27967,15964,24563,33033,21763,16874,15084,41.1,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,12,764043,365047,39056,2208,249380,1750,57825,48777,55109252500,39177,12318,24557,24280,18215,15140,7104,13138,68126,64376,50539,416583,10178,3554,3982,29588,91062,97759,72071,53549,50818,47124,40992,20605,25037,16573,19690,27521,18595,14435,19400,71.57,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,14,759415,328620,21827,2455,266053,9036,80155,51269,41064703600,28172,7476,17694,17423,15050,15127,7270,12104,73442,83259,76863,398499,17275,9046,5624,28857,61313,56245,54650,51739,53556,49820,51919,18818,29152,17366,23344,29555,21718,14336,19325,52.03,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,15,789174,314637,40917,3911,283643,9036,87236,49794,37596705800,20961,5854,15050,10432,14994,14486,10405,12451,86365,91614,70169,429834,14342,7383,8161,26746,50660,55552,66735,57761,59206,54634,51133,18447,26991,14490,21322,27101,19317,11717,12930,39.23,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,16,749967,422040,39188,8028,69456,1664,182392,27199,13751974000,83303,41297,61916,49445,49155,41681,14499,22763,145414,89803,42187,87562,25556,13407,12796,30876,62745,53238,49495,45525,39100,41255,40354,15132,19550,10949,13228,21484,13286,9397,9790,16.83,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,17,777468,222919,16541,3322,437632,1819,58748,36487,44622568900,30008,7980,12279,15985,12310,11381,4393,10115,57365,67094,66110,472732,14382,6508,8237,25651,75489,79834,62397,52782,51430,51575,48797,17129,27398,14426,16279,21927,17461,12962,13023,47.1,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,18,750295,474238,16550,2638,180901,677,38312,36979,55507474100,22574,9625,13978,15581,16972,14472,5014,7972,49510,49103,50101,481104,15749,6909,6234,27696,47505,49579,56218,52059,56183,55896,50565,18499,25956,16632,19765,27589,18855,14089,19265,44.6,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Representative,California,CA,6,2,722370,575564,11236,15063,31398,1003,49361,38745,33825494500,38408,16082,26374,25329,20263,23950,7798,12480,91706,72373,64458,307426,18407,7893,7095,26372,37217,37486,43348,45159,48084,48354,51226,21745,32866,21468,31415,41755,25994,16450,16421,40.5,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
