Office Type,Name,State_abbrev,State_num,Total_Population,Race_White,Race_Black,Race_AmerInd,Race_Asian,Race_PacIsl,Race_Other,Race_TwoOrMore,Agg_Household_Income,Inc_Pov_Ratio_below_50,Inc_Pov_Ratio_50_74,Inc_Pov_Ratio_75_99,Inc_Pov_Ratio_100_124,Inc_Pov_Ratio_125_149,Inc_Pov_Ratio_150_174,Inc_Pov_Ratio_175_184,Inc_Pov_Ratio_185_199,Inc_Pov_Ratio_200_299,Inc_Pov_Ratio_300_399,Inc_Pov_Ratio_400_499,Inc_Pov_Ratio_above_500,Age_18_19,Age_20,Age_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_61,Age_62_64,Age_65_66,Age_67_69,Age_70_74,Age_75_79,Age_80_84,Age_85_over,lean_magnitude,lean_party,battleground,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?
Governor,Alaska,AK,2,737438,474555,25197,111371,46381,7958,9780,62196,24457350200,37710,16383,24527,21735,26393,28518,12222,14014,115398,97046,86152,240771,19518,9622,9283,30202,62616,55072,53482,43538,42487,46846,47300,20287,25725,17076,20251,22303,12674,8326,7370,15,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor,Alabama,AL,1,4887871,3306838,1307040,22063,65095,1797,84027,101011,128176358800,363398,204314,232710,245399,237588,244062,95481,116728,805162,674195,489364,1055427,143492,69776,65507,182527,332394,303582,295430,298050,309880,316293,332700,137847,181625,113919,155926,223551,152542,98483,85242,27,R,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor,Arkansas,AR,5,3013825,2306096,456714,20951,47548,9398,84917,88201,77205193600,196541,144221,163742,169669,162172,169033,59651,96175,531638,401083,270636,560887,88178,46796,40548,112404,203717,189220,189693,177360,183716,186627,196034,81411,106485,65434,96922,134452,97211,57488,56169,24,R,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senator,Arizona,AZ,4,7171646,5590505,336340,330599,237873,15661,373688,286980,210390307500,440556,255588,287355,335649,321388,347288,144667,222788,1235224,985124,715455,1722362,199690,99537,100945,289171,512972,466356,452363,430255,433641,418821,430467,180194,256132,162659,228592,336705,246493,151915,132739,9,R,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0
Governor,California,CA,6,39557045,23535388,2283850,302792,5821585,155739,5453229,2004462,1403732564500,2275195,1073271,1620860,1696121,1608901,1675161,680301,998922,5863926,4869828,3640491,12815477,1045415,553591,533149,1623708,3117499,2916899,2764526,2499931,2569554,2498472,2485050,972712,1323664,794567,1062088,1429806,975951,675345,729580,24,D,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1
Senator,California,CA,6,39557045,23535388,2283850,302792,5821585,155739,5453229,2004462,1403732564500,2275195,1073271,1620860,1696121,1608901,1675161,680301,998922,5863926,4869828,3640491,12815477,1045415,553591,533149,1623708,3117499,2916899,2764526,2499931,2569554,2498472,2485050,972712,1323664,794567,1062088,1429806,975951,675345,729580,24,D,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1
Governor,Colorado,CO,8,5695564,4790677,237578,55146,180277,7585,196831,227470,209442491600,255879,126359,155254,181416,188755,230347,91123,148106,856547,785170,632856,1925208,154417,72299,68503,233320,447283,442373,406854,374534,367907,342311,362167,148591,200412,123351,160817,218250,132153,85878,87406,1,D,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Governor,Connecticut,CT,9,3572665,2688136,391552,9507,165855,1017,195208,121390,153386258400,157621,92230,111526,109371,109995,116868,44414,68118,439311,398731,347754,1472324,104357,53024,50589,136233,222988,224903,213958,210615,234868,259774,260520,105680,146943,78139,108918,156003,112448,69943,87696,11,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senator,Connecticut,CT,9,3572665,2688136,391552,9507,165855,1017,195208,121390,153386258400,157621,92230,111526,109371,109995,116868,44414,68118,439311,398731,347754,1472324,104357,53024,50589,136233,222988,224903,213958,210615,234868,259774,260520,105680,146943,78139,108918,156003,112448,69943,87696,11,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senator,Delaware,DE,10,967171,659781,217594,4397,39023,896,19652,25828,31213954200,50635,28527,38080,32410,30201,37312,14848,24340,149144,126899,112871,295519,24768,13884,13792,31877,66046,61353,59399,52994,57927,64960,68726,26537,41002,24560,35335,48000,36377,17880,18604,14,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
